iter	Passed	Remaining
0	25	12832
1	45	11233
2	68	11336
3	94	11736
4	115	11466
5	135	11185
6	160	11316
7	187	11538
8	212	11609
9	231	11351
10	251	11195
11	272	11088
12	298	11200
13	318	11063
14	337	10928
15	360	10897
16	380	10820
17	401	10756
18	422	10688
19	443	10635
20	472	10773
21	495	10764
22	516	10715
23	540	10715
24	565	10745
25	584	10651
26	606	10617
27	629	10614
28	648	10528
29	667	10464
30	695	10516
31	723	10584
32	746	10570
33	765	10495
34	785	10437
35	805	10376
36	825	10326
37	844	10267
38	870	10287
39	898	10328
40	925	10359
41	950	10361
42	970	10310
43	989	10253
44	1008	10196
45	1027	10141
46	1055	10173
47	1076	10134
48	1095	10080
49	1114	10027
50	1135	9992
51	1156	9964
52	1180	9953
53	1208	9985
54	1231	9963
55	1252	9926
56	1273	9896
57	1292	9852
58	1313	9814
59	1335	9795
60	1356	9759
61	1377	9729
62	1400	9712
63	1423	9695
64	1443	9661
65	1464	9633
66	1488	9616
67	1510	9595
68	1531	9564
69	1554	9546
70	1582	9563
71	1607	9556
72	1629	9533
73	1649	9497
74	1670	9464
75	1691	9435
76	1718	9442
77	1742	9428
78	1767	9416
79	1786	9380
80	1807	9348
81	1829	9323
82	1851	9304
83	1879	9307
84	1899	9273
85	1919	9238
86	1940	9212
87	1962	9188
88	1983	9160
89	2002	9121
90	2022	9088
91	2043	9061
92	2065	9039
93	2090	9029
94	2112	9007
95	2134	8982
96	2155	8954
97	2175	8922
98	2200	8912
99	2224	8897
100	2245	8872
101	2264	8836
102	2288	8819
103	2310	8796
104	2332	8776
105	2354	8751
106	2376	8728
107	2395	8695
108	2416	8669
109	2437	8642
110	2458	8614
111	2477	8581
112	2496	8551
