month,people
2001M01,70319
2001M02,91445
2001M03,101571
2001M04,86966
2001M05,82235
2001M06,88335
2001M07,83208
2001M08,93811
2001M09,83039
2001M10,71351
2001M11,74336
2001M12,94956
2002M01,71567
2002M02,82286
2002M03,110494
2002M04,77393
2002M05,82645
2002M06,74817
2002M07,68793
2002M08,82880
2002M09,79160
2002M10,86318
2002M11,96004
2002M12,116278
2003M01,85072
2003M02,101259
2003M03,99707
2003M04,27937
2003M05,3484
2003M06,4147
2003M07,29577
2003M08,51538
2003M09,57311
2003M10,64304
2003M11,78925
2003M12,92016
2004M01,63766
2004M02,62147
2004M03,74308
2004M04,75862
2004M05,75276
2004M06,90445
2004M07,81999
2004M08,92524
2004M09,92192
2004M10,100784
2004M11,104036
2004M12,118374
2005M01,89523
2005M02,100527
2005M03,122328
2005M04,104526
2005M05,110805
2005M06,117947
2005M07,101799
2005M08,112637
2005M09,108597
2005M10,125333
2005M11,136504
2005M12,151111
2006M01,109594
2006M02,111346
2006M03,131487
2006M04,122678
2006M05,120406
2006M06,122616
2006M07,105786
2006M08,127126
2006M09,116808
2006M10,130267
2006M11,148194
2006M12,163899
2007M01,116436
2007M02,109025
2007M03,147192
2007M04,138761
2007M05,128501
2007M06,135858
2007M07,112751
2007M08,136113
2007M09,128764
2007M10,139189
2007M11,161399
2007M12,194518
2008M01,129827
2008M02,141667
2008M03,159366
2008M04,124999
2008M05,149415
2008M06,149473
2008M07,131359
2008M08,143140
2008M09,134740
2008M10,152998
2008M11,164530
2008M12,193715
2009M01,135960
2009M02,143202
2009M03,207998
2009M04,257470
2009M05,200858
2009M06,149736
2009M07,170861
2009M08,186110
2009M09,166884
2009M10,190285
2009M11,222273
2009M12,266697
2010M01,182678
2010M02,214722
2010M03,303714
2010M04,316990
2010M05,308267
2010M06,274989
2010M07,240033
2010M08,245851
2010M09,225268
2010M10,280999
2010M11,323792
2010M12,328702
2011M01,216902
2011M02,259821
2011M03,316752
2011M04,350884
2011M05,274035
2011M06,254424
2011M07,257359
2011M08,298990
2011M09,252005
2011M10,318239
2011M11,395798
2011M12,438647
2012M01,281951
2012M02,323360
2012M03,478521
2012M04,481276
2012M05,399553
2012M06,383135
2012M07,377714
2012M08,401156
2012M09,317588
2012M10,357450
2012M11,410454
2012M12,465172
2013M01,340370
2013M02,373778
2013M03,537648
2013M04,478064
2013M05,413039
2013M06,416955
2013M07,422183
2013M08,479786
2013M09,446633
2013M10,463725
2013M11,516778
2013M12,590140
2014M01,472163
2014M02,528100
2014M03,654328
2014M04,663404
2014M05,595261
2014M06,572590
2014M07,579770
2014M08,587991
2014M09,558985
2014M10,617298
2014M11,635708
2014M12,726497
2015M01,553389
2015M02,590844
2015M03,577634
2015M04,625130
2015M05,630068
2015M06,556238
2015M07,593772
2015M08,646042
2015M09,575703
2015M10,678020
2015M11,690830
2015M12,787787
