month,trash
2001M01,770095
2001M02,629350
2001M03,663170
2001M04,650177
2001M05,713649
2001M06,695624
2001M07,704734
2001M08,693821
2001M09,795625
2001M10,726018
2001M11,650861
2001M12,640683
2002M01,683665
2002M02,672584
2002M03,652716
2002M04,662728
2002M05,694568
2002M06,671190
2002M07,691517
2002M08,681693
2002M09,649518
2002M10,668299
2002M11,612179
2002M12,644181
2003M01,710215
2003M02,550699
2003M03,610571
2003M04,627469
2003M05,668782
2003M06,654195
2003M07,675156
2003M08,656865
2003M09,668895
2003M10,639074
2003M11,602510
2003M12,643587
2004M01,696099
2004M02,591716
2004M03,627731
2004M04,619103
2004M05,651088
2004M06,669185
2004M07,667594
2004M08,656224
2004M09,640068
2004M10,619278
2004M11,626843
2004M12,650031
2005M01,656035
2005M02,640793
2005M03,650863
2005M04,633506
2005M05,666509
2005M06,670038
2005M07,683512
2005M08,679191
2005M09,660542
2005M10,629688
2005M11,622630
2005M12,635378
2006M01,687321
2006M02,596097
2006M03,635158
2006M04,612048
2006M05,665768
2006M06,668101
2006M07,670102
2006M08,671907
2006M09,637838
2006M10,655268
2006M11,646579
2006M12,645418
2007M01,669649
2007M02,658237
2007M03,671883
2007M04,641209
2007M05,674137
2007M06,680109
2007M07,680124
2007M08,695753
2007M09,639221
2007M10,676374
2007M11,620035
2007M12,642717
2008M01,682388
2008M02,629922
2008M03,606304
2008M04,611410
2008M05,647752
2008M06,644275
2008M07,646515
2008M08,622844
2008M09,642632
2008M10,621165
2008M11,573100
2008M12,609066
2009M01,666916
2009M02,603384
2009M03,618851
2009M04,620060
2009M05,635779
2009M06,674564
2009M07,664885
2009M08,685801
2009M09,642615
2009M10,655304
2009M11,634043
2009M12,643817
2010M01,670991
2010M02,671571
2010M03,674038
2010M04,642960
2010M05,672954
2010M06,686566
2010M07,674449
2010M08,669168
2010M09,689302
2010M10,638173
2010M11,634052
2010M12,633376
2011M01,669127
2011M02,579427
2011M03,630674
2011M04,621122
2011M05,645598
2011M06,644114
2011M07,640912
2011M08,645523
2011M09,627089
2011M10,621275
2011M11,596078
2011M12,633650
2012M01,663145
2012M02,581227
2012M03,625523
2012M04,595741
2012M05,624899
2012M06,640348
2012M07,620990
2012M08,626361
2012M09,595516
2012M10,613300
2012M11,605045
2012M12,611852
2013M01,634218
2013M02,595593
2013M03,615703
2013M04,613496
2013M05,613277
2013M06,610220
2013M07,643080
2013M08,624524
2013M09,593204
2013M10,606793
2013M11,583401
2013M12,599185
2014M01,661470
2014M02,582868
2014M03,606147
2014M04,598134
2014M05,619557
2014M06,620332
2014M07,641095
2014M08,621297
2014M09,621172
2014M10,607449
2014M11,569058
2014M12,620859
2015M01,606367
2015M02,587208
2015M03,616255
2015M04,582441
2015M05,588164
2015M06,611326
2015M07,620198
2015M08,642090
2015M09,587552
2015M10,598855
2015M11,582709
2015M12,606125
